cl_date,cs_date
2075-05-01,1986-05-31
2075-06-01,1986-06-30
2075-07-01,1986-07-31
2075-08-01,1986-08-31
2075-09-01,1986-09-30
2075-10-01,1986-10-31
2075-11-01,1986-11-30
2075-12-01,1986-12-31
2076-01-01,1987-01-31
2076-02-01,1987-02-28
2076-03-01,1987-03-31
2076-04-01,1987-04-30
2076-05-01,1987-05-31
2076-06-01,1987-06-30
2076-07-01,1987-07-31
2076-08-01,1987-08-31
2076-09-01,1987-09-30
2076-10-01,1987-10-31
2076-11-01,1987-11-30
2076-12-01,1987-12-31
2077-01-01,1988-01-31
2077-02-01,1988-02-29
2077-03-01,1988-03-31
2077-04-01,1988-04-30
2077-05-01,1988-05-31
2077-06-01,1988-06-30
2077-07-01,1988-07-31
2077-08-01,1988-08-31
2077-09-01,1988-09-30
2077-10-01,1988-10-31
2077-11-01,1988-11-30
2077-12-01,1988-12-31
2078-01-01,1989-01-31
2078-02-01,1989-02-28
2078-03-01,1989-03-31
2078-04-01,1989-04-30
2078-05-01,1989-05-31
2078-06-01,1989-06-30
2078-07-01,1989-07-31
2078-08-01,1989-08-31
2078-09-01,1989-09-30
2078-10-01,1989-10-31
2078-11-01,1989-11-30
2078-12-01,1989-12-31
2079-01-01,1990-01-31
2079-02-01,1990-02-28
2079-03-01,1990-03-31
2079-04-01,1990-04-30
2079-05-01,1990-05-31
2079-06-01,1990-06-30
2079-07-01,1990-07-31
2079-08-01,1990-08-31
2079-09-01,1990-09-30
2079-10-01,1990-10-31
2079-11-01,1990-11-30
2079-12-01,1990-12-31
2080-01-01,1991-01-31
2080-02-01,1991-02-28
2080-03-01,1991-03-31
2080-04-01,1991-04-30
2080-05-01,1991-05-31
2080-06-01,1991-06-30
2080-07-01,1991-07-31
2080-08-01,1991-08-31
2080-09-01,1991-09-30
2080-10-01,1991-10-31
2080-11-01,1991-11-30
2080-12-01,1991-12-31
2081-01-01,1992-01-31
2081-02-01,1992-02-29
2081-03-01,1992-03-31
2081-04-01,1992-04-30
2081-05-01,1992-05-31
2081-06-01,1992-06-30
2081-07-01,1992-07-31
2081-08-01,1992-08-31
2081-09-01,1992-09-30
2081-10-01,1992-10-31
2081-11-01,1992-11-30
2081-12-01,1992-12-31
2082-01-01,1993-01-31
2082-02-01,1993-02-28
2082-03-01,1993-03-31
2082-04-01,1993-04-30
2082-05-01,1993-05-31
2082-06-01,1993-06-30
